Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Elevation of Home Range,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Weight ,Ag (ug/g),Ba (ug/g),Ca (ug/g),Ce (ug/g),Cr (ug/g),Cs (ug/g),Cu (ug/g),La (ug/g),Li (ug/g),Mn (ug/g),Mo (ug/g),Nd (ug/g),Rb (ug/g),Sr (ug/g),Ti (ug/g),U (ug/g),V (ug/g),Y (ug/g),Zn (ug/g)
,Vegetal,365/10/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1002,0.023,2.131,197,0.783,0.244,0.025,1.795,0.017,0.027,3.23,0.162,0.008,6.563,3.039,0.342,0.007,0.062,0.349,8.731
,Vegetal,118/13/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.043,4.994,635,0.622,0.314,0.048,1.763,0.01,0.041,3.33,0.128,0.011,8.856,7.057,0.292,0.008,0.098,0.311,15.601
,Vegetal,123/14/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1005,0.035,4.038,441,0.869,0.339,0.035,3.02,0.021,0.027,3.858,0.27,0.014,6.8,7.529,0.243,0.01,0.119,0.438,12.906
,Vegetal,136/15/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.019,11.789,969,1.027,0.553,0.082,5.723,0.206,0.232,11.422,0.47,0.203,16.144,13.867,3.527,0.016,0.456,0.44,8.424
,Vegetal,357/16/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.038,6.507,645,2.704,0.43,0.083,3.078,0.023,0.062,3.405,0.151,0.025,8.678,11.611,0.282,0.018,0.123,1.207,4.378
,Vegetal,138/19/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.158,7.34,588,2.308,0.378,0.065,1.238,0.026,0.162,3.774,0.344,0.026,11.681,7.451,0.931,0.018,0.128,0.874,3.429
,Vegetal,360/20/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.11,7.649,755,3.842,0.456,0.085,2.495,0.027,0.16,5.476,0.182,0.027,8.84,8.217,1.196,0.023,0.146,1.337,12.422
,Vegetal,123/21/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.03,2.23,243,0.562,0.456,0.043,2.107,0.008,0.042,3.398,0.18,0.008,6.123,3.61,0.533,0.006,0.139,0.242,9.832
,Vegetal,132/22/pr/CR,,Modern,Crow Canyon,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.03,4.599,543,0.506,0.463,0.018,1.705,0.012,0.032,5.859,0.08,0.015,2.367,5.715,0.511,0.004,0.147,0.229,3.685
,Vegetal,434/25/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1001,0.024,2.935,330,0.358,0.429,0.025,1.981,0.003,0.788,9.783,0.43,0.003,3.114,4.601,1.104,0.003,0.126,0.189,1.391
,Vegetal,100/26/pr/LL,,Modern,Los Lunas,,,Tohono O'odham Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1007,0.011,1.682,227,0.056,0.34,0.066,2.262,0.003,0.108,9.406,0.26,0.001,1.592,3.485,0.431,0.001,0.085,0.029,34.962
,Vegetal,004/27/pr/LL,,Modern,Los Lunas,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.015,2.591,340,0.284,0.28,0.061,1.889,0.015,0.129,5.966,0.197,0.015,1.991,3.037,1.536,0.003,0.109,0.13,56.264
